Parcel(s),SFPUC Code,Building Address,Facility,Notes,Department Name,Department Code,Building Category,Facility Type,Year Built,Year Renovated,Building Floor Area (sq.ft.),2019 ENERGY STAR score,2019 Energy Use Intensity (kBtu/sq.ft.),2019 Carbon Intensity (lbs CO2e/sq.ft.)
1681/013,283,851 38th Ave,Cabrillo Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1931,2013,1420,,35.55386113,2.613300601
1700/001-A,697,55 Music Concourse Dr,California Academy of Sciences,,California Academy of Sciences,CAS,Museums and Art,Museum,2008,N/A,426000,,147.1271466,5.095877557
1313/029-A,236,100 34th Ave,California Palace of the Legion of Honor,,Fine Arts Museums of San Francisco,FAMSF,Museums and Art,Museum,1924,1995,117665,,287.5532431,22.81170739
6972/036,530,2301 San Jose Ave,Cameron Beach (Geneva) Yard - LRV and Streetcar,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1984,N/A,31514,,124.0174373,7.486524478
7380/030,1916,1000 N Lake Merced Hills,Camp Ida Smith,Building with no gas services.,San Francisco Public Utilities Commission,SFPUC,Recreation Facilities,Camp,N/A,N/A,1200,,9.172024667,0
3564/049,178,3850 17th St,Castro Mission Health Center (Health Center #1),,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1965,2008,15258,,79.65403696,4.551427282
MUNI-001,509,2400 Market St,Castro Station,Building with no gas services.,Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1972,N/A,46942,,36.54503346,0
7095A/011,284,301 Naglee Ave,Cayuga Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2013,N/A,3400,,43.89423047,1.962102395
3504/029,425,33 Gough St,CCSF -- Administrative Offices,,City College of San Francisco,CCSF,Offices,General Office,1949,1971,65521,93,33.27370233,2.981919525
OUTSIDE-SF-016,422,SFIA  Building 928,CCSF -- Airport Campus,,City College of San Francisco,CCSF,Education,College / Adult Education,1975,N/A,27753,,38.77610348,3.248287422
0195/005,2038,628 Washington St,CCSF -- Chinatown / North Beach Annex,,City College of San Francisco,CCSF,Education,College / Adult Education,2012,N/A,29411,,63.94247503,4.290374158
0195/010,1962,808 Kearny St,CCSF -- Chinatown / North Beach Center,,City College of San Francisco,CCSF,Education,College / Adult Education,2012,N/A,157353,,41.12854926,2.230604162
3705/006,426,88 4th St,CCSF -- Downtown Center,,City College of San Francisco,CCSF,Education,College / Adult Education,1978,N/A,86038,,80.78560925,4.411912145
5203/058,1162,1400 Evans Ave,CCSF -- Evans Center,,City College of San Francisco,CCSF,Education,College / Adult Education,1984,N/A,90000,,20.48509721,0.4274606848
0409/002,427,Fort Mason Building B,CCSF -- Fort Mason Campus,,City College of San Francisco,CCSF,Education,College / Adult Education,1934,N/A,24000,,78.6479615,4.95536222
1196/001,429,1860 Hayes St,CCSF -- John Adams Center,,City College of San Francisco,CCSF,Education,College / Adult Education,1911,2009,151397,,23.65425544,1.872865405
3636/033,1037,1125 Valencia St,CCSF -- Mission Center,,City College of San Francisco,CCSF,Education,College / Adult Education,1939,2005,138129,,74.72413641,4.969068404
3179/010,424,50 Phelan Ave,CCSF -- Ocean Campus,,City College of San Francisco,CCSF,Education,College / Adult Education,1940,N/A,931000,,94.95434082,6.637378115
5314/003-A,2133,1980 Oakdale Ave.,CDD Office – 1980 Oakdale,,San Francisco Public Utilities Commission,SFPUC,Offices,General Office,1956,N/A,48400,100,3.982856777,0.1638105648
5314/003-B,2134,1990 Oakdale Ave.,CDD Office – 1990 Oakdale,,San Francisco Public Utilities Commission,SFPUC,Offices,General Office,1956,N/A,19200,94,39.1862381,3.765334754
0130/043-A,73,766 Vallejo St,Central Police Station,,Police Department,SFPD,Public Safety,Police Station,1970,N/A,8000,,101.1194089,0.74301985
5262/009,1468,1800 Jerrold Ave,Central Shops,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Central Shops (General Services Agency),GSA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1959,N/A,80577,,1.161685707,0
5230/018A,2079,450 Toland St,Central Shops - 450 Toland St,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019. Newly reported municipal building as of late 2018 or 2019.,Central Shops (General Services Agency),GSA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1989,N/A,29616,,172.8989282,16.6551026
5250/023,2078,555 Selby St,Central Shops - 555 Selby St,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019. Newly reported municipal building as of late 2018 or 2019.,Central Shops (General Services Agency),GSA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,2018,N/A,56814,,90.57887557,7.158014569
3638/004,1057,825 Shotwell St,Cesar Chavez Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1926,N/A,49100,28,47.79066785,3.996998052
2477/001,336,2699 19th Ave,Charlie Sava Swimming Pool / Larsen Park,,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,1957,2008,12900,,418.3842766,38.85179002
0226/010,1330,720 Sacramento St,Chinatown Child Development Center,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1950,1985,9250,82,26.83577029,0.4092855032
0191/004,241,1135 Powell St,Chinatown Him Mark Lai Branch Library,,Public Library,SFPL,Libraries,Library,1921,1996,17858,,70.78074143,2.214769636
0159/046,180,1490 Mason St,Chinatown Public Health Center (Health Center #4),,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1967,2010,22500,,128.9169146,10.09216755
0101/030,1208,729 Filbert St,Chinatown/North Beach Mental Health Services,Building with no gas services.,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1953,1988,11067,79,27.45301921,0
0208/009,1075,657 Merchant St,Chinese Education Center,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1976,N/A,10580,33,43.81150431,1.760750119
1243/008,1125,1250 Waller St,Chinese Immersion Elementary at DeAvila,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1926,N/A,58582,71,31.43905447,2.699188624
4277/013,793,2789 25th St,CHN Headquarters,,Department of Public Health,DPH,Offices,General Office,1923,1993,85000,38,80.93773895,5.631345493
7521/007,289,5210 Diamond Heights Blvd,Christopher Clubhouse,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1971,N/A,2337,,40.1928344,0
MUNI-006,510,2000 Market St,Church Station,Building with no gas services.,Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1972,N/A,55926,,31.18864871,0
5303/005,572,1990 Newcomb Ave,City Distribution Division,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,N/A,N/A,67500,,71.84091617,3.326641625
0787/001,472,1 Dr Carlton B Goodlett Pl,City Hall,Building with no gas services.,Real Estate Division,RED,Offices,General Office,1915,2000,516484,78,41.10389776,1.836496003
0788/001-B,207,355 McAllister St,Civic Center Garage,Building with no gas services.,Recreation & Park Department,RPD,Parking Garages,Parking Garage,1958,N/A,355674,,5.191938466,0
0768/015,1067,727 Golden Gate Ave,Civic Center Secondary at John Swett Campus,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1912,N/A,29060,10,57.71147803,4.396799055
MUNI-005,511,1170 Market St,Civic Center Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART.  Building with no gas services.",Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1972,N/A,53000,,48.09148979,0
0920/004,1082,3630 Divisadero St,Claire Lilienthal (3-8 Winfield Scott Campus),,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1930,N/A,34000,,31.05223846,1.803315026
1014/037,1392,3950 Sacramento St,Claire Lilienthal (K-2 Madison Campus),,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1910,N/A,20855,23,59.05877363,5.329698159
2684/011,1118,500 Clarendon Ave,Clarendon Elementary,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1962,N/A,39500,46,38.81343172,2.676287441
6075/003,1020,455 Athens St,Cleveland Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1911,N/A,34000,59,31.96736824,2.610797613
6220/002,701,136 Hahn St,Coffman Pool / Herz Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,1957,2008,12289,,417.1262952,36.41906103
0086/012,292,1 Telegraph Hill Blvd,Coit Tower,Building with no gas services.,Recreation & Park Department,RPD,Museums and Art,Museum,1933,2012,5687,,69.2755393,0
3256/001,1010,50 Darien Way,Commodore Sloat Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1977,N/A,59200,71,26.23571298,1.798729856
0192/006,1074,954 Washington St,Commodore Stockton CDC,,San Francisco Unified School District,SFUSD,Education,Childcare/Nursery School,1924,N/A,21255,,8.820939017,0
0763/001,1918,555 Polk St,Community Justice Center,,Department of Public Health,DPH,Offices,Courthouse,1913,N/A,18430,50,52.30714183,3.203599917
3759/042-B,1205,427 07th St,County Jail #1 & #2,,Sheriff’s Department,SHF,Public Safety,Jail / Correctional,1994,N/A,250000,,42.07976484,0.5612924061
0942/029,348,1 Miley St,Cow Hollow Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1950,N/A,675,,17.80945541,1.50710168
0753/026-A,1069,1601 Turk St,Creative Arts Charter,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1962,N/A,33117,89,27.04337738,2.080013004
6284A/001,299,Moscow St & Italy Ave,Crocker Amazon Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1955,1982,24040,,8.021304792,0.440183311
0345/015,181,333 Turk St,Curry Senior Service Center,Building with no gas services.,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1930,2006,11195,,67.54480736,4.372696491
4066/006,1053,465 Missouri St,Daniel Webster Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1924,N/A,42800,66,24.88841145,1.398341596
0810/001,468,300 Franklin St,Davies Symphony Hall / Zellerbach Rehearsal Hall,"Adjacent facilities combined for benchmarking, due to shared mechanical systems.",War Memorial and Performing Arts Center,WMPAC,Performance Halls,Performance Hall,1980,N/A,229500,,53.77596742,2.756621565
1700/001-B,237,50 Hagiwara Tea Garden Drive,De Young Museum,,Fine Arts Museums of San Francisco,FAMSF,Museums and Art,Museum,2005,N/A,292500,,172.391877,9.329978775
2425/008,1112,2550 25th Ave,Dianne Feinstein Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,2003,N/A,62087,89,15.56360249,0.4575729978
3779/018,7,732 Brannan St,District Attorney's Office,Building with no gas services.,District Attorney,DA,Offices,Office,1906,N/A,17625,73,40.29876902,0
7500/001,301,1100 Douglass St,Douglas Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1926,N/A,1072,,27.21202985,1.318993399
4029/017,1814,693 Vermont St,Downtown High,,San Francisco Unified School District,SFUSD,Education,High School,1936,N/A,58760,84,33.28641665,3.136072029
0811/001,174,101 Grove St,DPH Central Office,"Bill Graham Civic Auditorium and DPH Central Office receive steam from the Civic Center steam loop that is unmetered at individual facility level. For purposes of this report, the metered use at the steam loop is apportioned based on each building’s square footage, but may be over reported here due to leaks and other losses in the steam loop itself.",Department of Public Health,DPH,Offices,General Office,1932,N/A,119000,62,90.42959542,12.16722768
4342/001,111,2323 Cesar Chavez St,DPW -- Corporation Yard,,Department of Public Works,DPW,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1949,N/A,102764,,35.57141109,1.561401711
5356/022,1030,50 Pomona St,Dr Charles R Drew Elementary,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1971,N/A,55234,42,38.51975902,2.943809615
4715/003,1027,1360 Oakdale Ave,Dr George Washington Carver Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1974,N/A,45500,56,36.95195485,1.606584175
5983/003,1123,350 Girard St,Dr Martin Luther King Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1940,N/A,72210,56,31.70948809,2.160197094
1027/022,1086,2725 California St,Dr William Cobb Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1923,N/A,36246,54,35.62450118,2.816441147
5985/001,1050,423 Burrows St,E R Taylor Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1923,N/A,56113,67,33.09130477,2.91520104
4711/006,69,100 Whitney Young Cir,Earl P Mills Community Center,,Human Services Agency,HSA,Education,Childcare / Teen Center / Family Center,1971,N/A,15000,,66.65117387,5.441159714
3630/001,1039,3531 22nd St,Edison Charter Academy Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1927,N/A,59200,78,21.21016802,1.133210028
6163/040,1025,70 Delta St,El Dorado Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1953,N/A,30300,22,49.89990916,4.063961947
0772/022,68,1050 McAllister St,Ella Hill Hutch Community Center,Building with no gas services.,Mayor's Office of Housing and Community Development,MOH,Recreation Facilities,Community/Senior Center,1980,N/A,22300,,9.462914242,0
0327/021,208,123 O'Farrell St,Ellis O'Farrell Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1964,N/A,304520,,5.724828883,0
MUNI-002,513,50 Mission St,Embarcadero Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART.  Building with no gas services.",Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1972,N/A,56000,,55.94458991,0
0759/001-A,1336,1011 Turk St,Emergency Operations Center,,Department of Emergency Management,DEM,Public Safety,Emergency Center,1998,2010,56000,,262.5126124,11.2067887
3779/168,1324,505 07th St,Enforcement Division,,Municipal Transportation Agency,SFMTA,Offices,General Office,1920,N/A,8000,77,75.262618,3.091810906
2694/002,303,100 Collingwood St,Eureka Valley Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1951,2004,17880,,100.9163428,9.73536101
3564/095,242,3555 16th St,Eureka Valley/Harvey Milk Branch Library,,Public Library,SFPL,Libraries,Library,1961,2009,6465,,51.77919517,1.840212902
3565/001-A,1042,450 Church St,Everett Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1926,N/A,155370,89,31.2992689,2.70680574
6797/046,243,4410 Mission St,Excelsior Branch Library,,Public Library,SFPL,Libraries,Library,1967,2005,8322,,39.02888993,1.99810132
6088/008,304,579 Madrid St,Excelsior Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1928,N/A,2255,,39.86974262,3.196449938
6657/008,1034,65 Chenery St,Fairmount Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1976,N/A,60960,94,15.79943778,0.6312662832
0067/014A,1383,2366 Leavenworth St,Fay House,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1912,N/A,4536,,1.017431922,0
3724/067,222,833 Mission St,Fifth & Mission Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1957,N/A,992600,,3.485303001,0
5431A/016-B,1222,1819 Egbert Ave,Fine Arts Warehouse,Building with no gas services.,Fine Arts Museums of San Francisco,FAMSF,"Service, Repair, and Storage",Warehouse,1983,N/A,27440,82,5.102456997,0
1939/026-A,2007,600 Avenue M,Fire Fighting Training Center - Treasure Island,Building with no gas services.,Fire Department,SFFD,Public Safety,Fire Station,1899,N/A,5040,,166.1799029,0
3753/313,2019,935 Folsom St,Fire Station 01 (New Folsom Street location),,Fire Department,SFFD,Public Safety,Fire Station,2013,N/A,15136,,78.92081752,2.584987593
0160/015,27,1340 Powell St,Fire Station 02,,Fire Department,SFFD,Public Safety,Fire Station,1994,N/A,16920,,42.16276757,2.369452003
0693/018,36,1067 Post St,Fire Station 03,,Fire Department,SFFD,Public Safety,Fire Station,1973,N/A,8000,,64.30014765,2.991430094
0756/018,24,1301 Turk St,Fire Station 05,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Fire Department,SFFD,Public Safety,Fire Station,1954,1984,12600,,40.55576314,0
3542/025,53,135 Sanchez St,Fire Station 06,,Fire Department,SFFD,Public Safety,Fire Station,1948,1998,13500,,94.81087502,9.10792822
3594/059,56,2300 Folsom St,Fire Station 07 / Division of Training,,Fire Department,SFFD,Public Safety,Fire Station,1953,2003,33600,,54.80230549,3.836132503
3786/039,54,36 Bluxome St,Fire Station 08,,Fire Department,SFFD,Public Safety,Fire Station,1940,1994,8000,,71.45191165,4.506925851
5286A/006,55,2245 Jerrold Ave,Fire Station 09,,Fire Department,SFFD,Public Safety,Fire Station,1972,1995,21400,,44.18142047,3.26321261
1032/001,17,655 Presidio Ave,Fire Station 10,,Fire Department,SFFD,Public Safety,Fire Station,1956,N/A,14300,,76.49277421,6.608020299
6551/043,18,3880 26th St,Fire Station 11,,Fire Department,SFFD,Public Safety,Fire Station,1956,1996,14000,,65.46825151,5.257496462
2630/047,19,1145 Stanyan St,Fire Station 12,,Fire Department,SFFD,Public Safety,Fire Station,1955,N/A,11300,,69.93394966,6.116786267
0206/017,20,530 Sansome St,Fire Station 13,,Fire Department,SFFD,Public Safety,Fire Station,1974,1999,18790,,77.31900954,4.12084221
1518/009,21,551 26th Ave,Fire Station 14,,Fire Department,SFFD,Public Safety,Fire Station,1973,N/A,15900,,19.74314101,0
3180/194,22,1000 Ocean Ave,Fire Station 15,,Fire Department,SFFD,Public Safety,Fire Station,1957,1997,12138,,69.6986235,4.65117279
0515/031,23,2251 Greenwich St,Fire Station 16,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Fire Department,SFFD,Public Safety,Fire Station,1938,1998,14000,,46.74018866,3.158502997
4792/018,52,1295 Shafter Ave,Fire Station 17,,Fire Department,SFFD,Public Safety,Fire Station,1955,1996,12100,,73.30800618,5.784211532
2102/006,25,1935 32nd Ave,Fire Station 18,,Fire Department,SFFD,Public Safety,Fire Station,1951,1997,15900,,56.76484143,4.825187758
7296/002,26,390 Buckingham Way,Fire Station 19,,Fire Department,SFFD,Public Safety,Fire Station,1951,1998,11500,,63.10496678,5.17073644
2842/009,28,285 Olympia Way,Fire Station 20,,Fire Department,SFFD,Public Safety,Fire Station,1963,1997,10300,,75.84610132,6.326841571
1200/016,29,1443 Grove St,Fire Station 21,,Fire Department,SFFD,Public Safety,Fire Station,1958,1988,8000,,20.63680315,0.0014626375
1735/064,30,1290 16th Ave,Fire Station 22,,Fire Department,SFFD,Public Safety,Fire Station,1962,N/A,5900,,75.65241837,6.078404132
1799/029,31,1348 45th Ave,Fire Station 23,,Fire Department,SFFD,Public Safety,Fire Station,1959,1996,12000,,35.73398933,2.935103924
2801/001,12,100 Hoffman Ave,Fire Station 24,,Fire Department,SFFD,Public Safety,Fire Station,1914,1997,7600,,57.59250979,4.392562148
4502A/002,32,3305 03rd St,Fire Station 25,,Fire Department,SFFD,Public Safety,Fire Station,1916,N/A,11420,,43.37006665,3.003924425
